,gis,soil
1429,001050003,A
1430,001050004,A
1436,001070001,A
1437,001070002,A
1438,001070003,B
1439,001070004,B
1440,001080001,A
1441,001080002,A
1442,001080003,A
1443,001080004,B
1444,001080005,A
1445,001080006,B
1449,001090004,B
1450,001090005,B
1453,001090008,C
1457,001090012,C
1460,001090015,B
1462,001090017,C
1463,001090018,C
1475,001100001,A
1481,001110003,C
1482,001110004,C
1483,001110005,C
1485,001110007,A
1487,001110009,B
1488,001110010,B
1491,001110013,C
1494,001110016,B
1497,001120001,B
1499,001140001,A
1500,001140002,A
1501,001140003,B
1502,001140004,A
1503,001140005,A
1523,001170005,C
1528,001170010,C
1533,001170015,C
1535,001170017,D
1537,001170019,A
1538,001170020,A
1540,001170022,C
1545,001170027,C
1554,001180001,A
1555,001180002,A
1557,001180004,C
1558,001180005,C
1559,001180006,A
1560,001180007,A
1561,001180008,A
1570,001190008,C
1571,001190009,A
1572,001190010,A
1574,001190012,B
1575,001190013,B
1576,001190014,C
1578,001190016,A
1579,001190017,C
1584,001200001,A
1585,001210001,C
1586,001210002,C
1594,001220001,C
1595,001220002,C
1596,001220003,C
1599,001230003,B
1609,001230013,C
1610,001230014,B
1612,001230016,A
1615,001230019,B
1618,001230022,C
1621,001230025,C
1625,001240001,C
1626,001240002,C
1627,001250001,B
1628,001250002,C
1629,001250003,C
1630,001250004,C
1631,001260001,C
1632,001260002,C
1633,001260003,C
1634,001260004,C
1635,001260005,C
1636,001260006,C
1637,001260007,A
1638,001260008,B
1639,001260009,B
1640,001270001,C
1641,001270002,C
1642,001270003,C
1643,001280001,C
1644,001280002,B
1645,001280003,B
1646,001280004,C
1647,001280005,C
1648,001280006,C
1651,001290002,C
1656,001290007,C
1657,001290008,C
1677,001290028,C
1682,001290033,D
1684,001290035,A
1693,001290044,C
1697,001290048,C
1699,001290050,D
1719,001300013,C
1724,001300018,D
1733,001300027,C
1735,001300029,D
1740,001310004,C
1741,001310005,C
1742,001310006,C
1743,001310007,C
1744,001310008,C
1749,001320001,C
1750,001320002,C
1751,001320003,C
1752,001320004,C
1757,001330005,C
1758,001330006,C
1760,001330008,A
1761,001330009,A
1762,001330010,A
1770,001340001,C
1771,001340002,C
1773,001340004,B
1774,001340005,B
1776,001340007,C
1778,001340009,B
1779,001350001,C
1784,001360001,D
1785,001360002,C
1786,001360003,C
1787,001360004,C
1790,001370001,C
1791,001370002,C
1792,001370003,C
1793,001370004,C
1794,001370005,B
1795,001370006,B
1796,001370007,B
1797,001380001,B
1798,001380002,B
1799,001380003,B
1800,001380004,C
1801,001380005,C
1802,001390001,C
1803,001390002,C
1804,001400001,C
1805,001400002,C
1806,001400003,C
1807,001400004,C
1808,001410001,C
1809,001410002,C
1810,001410003,A
1811,001410004,A
1886,001450001,C
