sub,month,treshold_hid
9,3,0.0289983095147115
9,4,0.06901765380206343
9,5,0.19736638899503248
9,6,0.140762338555598
9,7,0.05898772640427971
9,8,0.10633109667558273
9,9,0.1717600305693542
9,10,0.2965860756591517
9,11,0.28581001146350776
9,12,0.09022312571646922
10,1,0.4327680726309816
10,2,0.263448912426707
10,3,0.19446945337620575
10,4,0.19832615850198598
10,5,0.5039536977491961
10,6,0.5991293361074332
10,7,0.4386021562322678
10,8,0.512157367126915
10,9,0.6034599583885
10,10,0.9861889162095705
10,11,1.2296842822016265
10,12,0.7591172309438244
11,1,0.3437217391304348
11,2,0.24166455652173913
11,3,0.3521062956521739
11,4,0.7008542608695653
11,5,1.4422038260869565
11,6,1.072862608695652
11,7,0.7631749565217391
11,8,0.9515645217391304
11,9,1.5243213913043479
11,10,2.366007652173913
11,11,1.8760820869565218
11,12,0.8183582608695652
12,1,0.3789478452343504
12,2,0.32641207927021076
12,3,0.4235203523120478
12,4,0.8316033972947467
12,5,1.6067573450770682
12,6,1.115807486631016
12,7,0.829130166719094
12,8,1.0907490405787983
12,9,1.6296143441333755
12,10,2.270208241585404
12,11,1.9026209499842717
12,12,0.8375554576910978
13,1,0.29261426287176207
13,2,0.1714184841701311
13,3,0.12678631275983368
13,4,0.13676085705148705
13,5,0.3168460505276623
13,6,0.4122719539494724
13,7,0.3046610809082187
13,8,0.32283261912376077
13,9,0.41015362967700664
13,10,0.6577488967061081
13,11,0.9036771346338341
13,12,0.5492354333226734
14,1,0.3546197802197802
14,2,0.2755335164835165
14,3,0.37814835164835164
14,4,0.7380197802197802
14,5,1.4940494505494506
14,6,1.0455230769230768
14,7,0.7812494505494505
14,8,0.9761390109890109
14,9,1.521197802197802
14,10,2.246043956043956
14,11,1.840153846153846
14,12,0.8084423076923077
15,1,0.05532596216897855
15,2,0.023860781841109707
15,3,0.06078180075662041
15,4,0.202576948297604
15,5,0.5761997477931904
15,6,0.4878658259773013
15,7,0.20763783102143757
15,8,0.3160464060529634
15,9,0.5382349558638083
15,10,1.0096706179066834
15,11,1.1310446406052963
15,12,0.37054486759142496
16,1,0.2606203636363636
16,2,0.2063978181818182
16,3,0.2533941818181818
16,4,0.5039607272727272
16,5,0.9433963636363634
16,6,0.7777963636363635
16,7,0.4717898181818182
16,8,0.6127592727272727
16,9,0.934690909090909
16,10,1.5451199999999998
16,11,1.3988945454545454
16,12,0.5052567272727273
17,1,0.3236942366026289
17,2,0.25632800808897876
17,3,0.33104347826086955
17,4,0.6547923154701718
17,5,1.3067017189079877
17,6,0.9493079878665317
17,7,0.674503134479272
17,8,0.8274612740141557
17,9,1.314891809908999
17,10,1.9895369059656218
17,11,1.6732901921132457
17,12,0.7264064711830132
18,1,0.17432772866098695
18,2,0.04332916251406525
18,3,0.05983974280662272
18,4,0.22050679954991154
18,5,0.6534651020736215
18,6,0.8643610995016878
18,7,0.3618355891335798
18,8,0.42444468734930074
18,9,0.7544757434496062
18,10,1.305833017199807
18,11,1.910077479504903
18,12,0.7408095161549589
19,1,0.2598073469387755
19,2,0.1426220408163265
19,3,0.1142204081632653
19,4,0.12791510204081633
19,5,0.30505142857142853
19,6,0.4069224489795918
19,7,0.282429387755102
19,8,0.2662726530612245
19,9,0.3867102040816326
19,10,0.6147004081632652
19,11,0.8665469387755103
19,12,0.5376000000000001
20,1,0.07047392813321646
20,2,0.04089650482033304
20,3,0.04416925503943909
20,4,0.1062621560035057
20,5,0.23143992988606485
20,6,0.30433093777388254
20,7,0.1357562839614373
20,8,0.14595617879053463
20,9,0.3764192813321647
20,10,0.8292431200701138
20,11,1.1958184049079752
20,12,0.45108220858895703
21,1,0.0835059512195122
21,2,0.049742048780487796
21,3,0.06642263414634146
21,4,0.14025365853658536
21,5,0.3806704390243902
21,6,0.4834185365853658
21,7,0.17487453658536584
21,8,0.21341034146341462
21,9,0.47047960975609754
21,10,0.9865990243902438
21,11,1.5416195121951217
21,12,0.5700058536585366
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.045211772994129096
22,12,0.0
23,1,0.2657439541547278
23,2,0.13024779369627507
23,3,0.10167060171919771
23,4,0.14439610315186244
23,5,0.39710578796561596
23,6,0.5587530085959885
23,7,0.3564020630372493
23,8,0.2939250429799427
23,9,0.4710739255014326
23,10,0.7646853868194841
23,11,1.2369558739255013
23,12,0.7627873925501433
24,1,0.2878458394160584
24,2,0.1273261313868613
24,3,0.09087065693430656
24,4,0.11792583941605837
24,5,0.3015521167883211
24,6,0.4828379562043795
24,7,0.3591591240875912
24,8,0.258145401459854
24,9,0.3757664233576642
24,10,0.6190598540145985
24,11,1.033541605839416
24,12,0.6939678832116788
25,1,0.7493834683954619
25,2,0.694280713128039
25,3,0.7301290113452188
25,4,1.0475124797406807
25,5,1.6572836304700163
25,6,1.245938411669368
25,7,0.8826243111831442
25,8,1.0729283630470017
25,9,1.6682761750405186
25,10,2.2355474878444084
25,11,1.9844693679092382
25,12,0.9812771474878443
26,1,0.34544245076586433
26,2,0.14750704595185996
26,3,0.1022368490153173
26,4,0.12337680525164114
26,5,0.32927789934354484
26,6,0.5121295404814005
26,7,0.40767439824945295
26,8,0.2794671334792122
26,9,0.40701269146608315
26,10,0.7192122538293215
26,11,1.2060078774617067
26,12,0.8139308533916849
27,1,0.3396615490533563
27,2,0.23545611015490533
27,3,0.27853218588640277
27,4,0.5608514974182445
27,5,1.1174994836488812
27,6,1.0571235800344232
27,7,0.650354561101549
27,8,0.7580298795180722
27,9,1.2174320137693633
27,10,1.68814595524957
27,11,1.69776247848537
27,12,0.807698726333907
28,1,1.1958410031347961
28,2,1.100719749216301
28,3,1.0301913479623823
28,4,1.1204915360501568
28,5,1.6433334169278997
28,6,1.42698131661442
28,7,1.1148579310344828
28,8,1.3750871473354231
28,9,2.0279894670846397
28,10,2.3796564263322884
28,11,2.143424200626959
28,12,1.5205858307210032
29,1,0.1160683417085427
29,2,0.06846874371859298
29,3,0.1122331658291457
29,4,0.29588743718592964
29,5,0.9875216080402011
29,6,0.8510472361809045
29,7,0.28914331658291453
29,8,0.4311678391959799
29,9,1.1317748743718594
29,10,1.9301788944723617
29,11,1.9511276381909546
29,12,0.6696723618090451
30,1,0.37653942857142864
30,2,0.1528962612244898
30,3,0.11419846530612245
30,4,0.16668499591836733
30,5,0.4390060408163265
30,6,0.6418285714285714
30,7,0.4941139591836734
30,8,0.354369306122449
30,9,0.5062217142857143
30,10,0.8174262857142855
30,11,1.3580434285714282
30,12,0.8896496326530613
31,1,0.33999641444766676
31,2,0.097049090429739
31,3,0.04741407856577906
31,4,0.09884861587134194
31,5,0.35325367782757716
31,6,0.5592651726865278
31,7,0.4386514104930134
31,8,0.2832999736356446
31,9,0.4254852623253361
31,10,0.7041839177432111
31,11,1.3072755075138414
31,12,0.8572574742947535
32,1,0.3467153526970953
32,2,0.2845543568464728
32,3,0.23190174273858905
32,4,0.3864139419087136
32,5,0.8840763485477178
32,6,0.5306290456431534
32,7,0.434111203319502
32,8,0.43458921161825725
32,9,0.7314721991701244
32,10,1.3166340248962656
32,11,1.087668049792531
32,12,0.5554456431535268
33,1,0.7569204628999319
33,2,0.5489723076923076
33,3,0.5565830360789653
33,4,0.9600222191967324
33,5,1.6450701157249832
33,6,1.711061130020422
33,7,1.1928963921034716
33,8,1.2792375765827093
33,9,1.8632756977535736
33,10,2.370147855684139
33,11,2.4796623553437716
33,12,1.3174676650782844
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0014925966101694914
34,5,0.19010745762711867
34,6,0.03350196610169491
34,7,0.00435546610169491
34,8,0.05700661016949148
34,9,0.35992372881355933
34,10,0.8148050847457626
34,11,0.36487983050847445
34,12,0.0
35,1,0.5872279436619718
35,2,0.27911824225352105
35,3,0.31869187605633803
35,4,0.8580615211267605
35,5,1.5804141971830985
35,6,1.7581304788732395
35,7,1.271710647887324
35,8,1.3118683943661973
35,9,1.84599076056338
35,10,2.3548015774647886
35,11,2.5772024788732395
35,12,1.3698415774647885
36,1,0.3604408506660435
36,2,0.12276311287684039
36,3,0.05134732414115447
36,4,0.11801404066370647
36,5,0.33649357326478146
36,6,0.5509691049310587
36,7,0.4406622107969152
36,8,0.3006534236971255
36,9,0.40793157279738257
36,10,0.6887568123393315
36,11,1.2780698293993924
36,12,0.8209918205188127
37,1,0.04450144995794786
37,2,0.015757645079899074
37,3,0.06462632800672835
37,4,0.23854102607232966
37,5,0.522382102607233
37,6,0.41833877207737596
37,7,0.23727663582842723
37,8,0.3415306980656014
37,9,0.6215786038687974
37,10,0.9918196804037006
37,11,0.914866274179983
37,12,0.24217433137089991
38,1,0.0015038055944055942
38,2,0.0001753678321678321
38,3,3.1610391608391565e-06
38,4,0.0023721860139860134
38,5,0.16579510489510488
38,6,0.0663784615384615
38,7,0.010587020979020973
38,8,0.0612503496503496
38,9,0.29429999999999995
38,10,0.665786013986014
38,11,0.45692307692307693
38,12,0.009609356643356633
39,1,0.2316066793747617
39,2,0.1927217384674037
39,3,0.20543304613038507
39,4,0.361839115516584
39,5,0.7100083873427373
39,6,0.560694166984369
39,7,0.3610485703393061
39,8,0.35851223789553943
39,9,0.6363559283263438
39,10,1.066939534883721
39,11,1.1282067861227603
39,12,0.45716568814334724
40,1,0.2247798828797795
40,2,0.1764131450223906
40,3,0.18427039614192212
40,4,0.32551043747847047
40,5,0.6052166724078538
40,6,0.5356026179813985
40,7,0.3387844299001033
40,8,0.3198853599724423
40,9,0.5666447123665174
40,10,0.9579596279710642
40,11,1.1169499138821908
40,12,0.4523276610403031
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.02591035560516664
41,5,0.24152320204114178
41,6,0.07670738319247328
41,7,0.032773031414447436
41,8,0.13166803380641043
41,9,0.2692163929197894
41,10,0.5704521766863339
41,11,0.33219429118162963
41,12,0.0
42,1,0.19998344206974128
42,2,0.14006389201349834
42,3,0.23223361079865015
42,4,0.5854596175478065
42,5,1.140369853768279
42,6,0.952473340832396
42,7,0.5573399325084364
42,8,0.7352584926884139
42,9,1.3469264341957254
42,10,1.8464071991001123
42,11,1.6101435320584925
42,12,0.4833475815523059
43,1,0.04883043356643357
43,2,0.016342825174825173
43,3,0.04992067132867132
43,4,0.20752111888111888
43,5,0.4836117482517483
43,6,0.4412173426573427
43,7,0.2376167832167832
43,8,0.3093213986013986
43,9,0.597542937062937
43,10,0.9431496503496504
43,11,0.9042797202797204
43,12,0.275660979020979
44,1,0.16848125984251966
44,2,0.10771149606299213
44,3,0.17637795275590548
44,4,0.45238425196850396
44,5,0.9589921259842519
44,6,0.8603464566929134
44,7,0.4806803149606299
44,8,0.5826771653543307
44,9,1.1062929133858268
44,10,1.564195275590551
44,11,1.4361700787401577
44,12,0.43719055118110234
45,1,0.23916194100856322
45,2,0.20514450999048525
45,3,0.2435888106565176
45,4,0.4899562321598477
45,5,0.9823375832540437
45,6,0.8524909609895337
45,7,0.4547714557564224
45,8,0.5867554709800189
45,9,0.9601826831588962
45,10,1.419352235965747
45,11,1.401924262607041
45,12,0.7057918173168412
46,1,0.20982683544303798
46,2,0.18516455696202527
46,3,0.24444151898734176
46,4,0.5047959493670886
46,5,0.8333164556962026
46,6,0.7728607594936708
46,7,0.4219017721518986
46,8,0.5099179746835443
46,9,0.7480101265822784
46,10,1.2836658227848101
46,11,1.250126582278481
46,12,0.5967979746835442
47,1,0.3877827608554763
47,2,0.13647056383668177
47,3,0.06171561892417368
47,4,0.12408077770576798
47,5,0.32730836033700583
47,6,0.550354374594945
47,7,0.4479211924821776
47,8,0.3051904082955282
47,9,0.39795515230071293
47,10,0.6651064160725858
47,11,1.2482364225534672
47,12,0.8413407647440051
48,1,0.04600736507936508
48,2,0.0656304761904762
48,3,0.21198730158730156
48,4,0.6605714285714286
48,5,1.0786031746031746
48,6,0.6374603174603175
48,7,0.5054019047619048
48,8,0.680279365079365
48,9,1.183390476190476
48,10,1.5492571428571429
48,11,1.242565079365079
48,12,0.13987555555555553
49,1,0.14090279657562166
49,2,0.08102685690990623
49,3,0.1291509172441908
49,4,0.34389172441907867
49,5,0.7516764777823073
49,6,0.7413916021198532
49,7,0.43113705666530777
49,8,0.4713431716265797
49,9,0.8682794944965347
49,10,1.3513692621280065
49,11,1.3347972278842235
49,12,0.45077342030167133
50,1,0.004078237220843672
50,2,0.0021545687344913154
50,3,0.002948248138957816
50,4,0.04618433746898263
50,5,0.29079424317617864
50,6,0.12739890818858557
50,7,0.05593989081885855
50,8,0.11885895781637715
50,9,0.3782876426799007
50,10,0.660613399503722
50,11,0.3976115136476427
50,12,0.018311940446650122
51,1,0.16497723214285714
51,2,0.1387486607142857
51,3,0.13361383928571427
51,4,0.27427901785714287
51,5,0.49884910714285713
51,6,0.48902544642857143
51,7,0.27580982142857136
51,8,0.32498839285714287
51,9,0.43928035714285707
51,10,0.8214026785714285
51,11,0.8931093749999999
51,12,0.46436383928571423
52,1,0.09987471421429761
52,2,0.09116848525245792
52,3,0.11578406265622396
52,4,0.18765832361273121
52,5,0.2624970504915847
52,6,0.26225229128478583
52,7,0.18747115480753204
52,8,0.18883892684552572
52,9,0.27418790201633064
52,10,0.4421215130811531
52,11,0.35608145309115147
52,12,0.20268941843026161
53,1,0.5374553424657534
53,2,0.3202886888454012
53,3,0.33613996086105674
53,4,0.735997808219178
53,5,1.3638011741682976
53,6,1.5133526418786694
53,7,0.9773682974559688
53,8,1.0495655577299412
53,9,1.5823373776908025
53,10,2.123225048923679
53,11,2.2683804305283752
53,12,1.1155913894324854
54,1,0.10361721874216988
54,2,0.09644500125281885
54,3,0.1160154347281383
54,4,0.18055023803558007
54,5,0.25317083437734905
54,6,0.2558985717865197
54,7,0.18415474818341265
54,8,0.18078837384114257
54,9,0.2619385617639689
54,10,0.4446861438236031
54,11,0.3617499373590578
54,12,0.20855284389877224
55,1,0.11552339908952956
55,2,0.11166009104704096
55,3,0.12314075872534143
55,4,0.1712267071320182
55,5,0.22590737481031867
55,6,0.2152177238239757
55,7,0.16719732928679817
55,8,0.16343890743550832
55,9,0.22065432473444613
55,10,0.36114063732928675
55,11,0.3519718361153262
55,12,0.20310773899848256
56,1,0.20133358001850138
56,2,0.18183163737280295
56,3,0.17770745605920443
56,4,0.3487810545790934
56,5,0.62785065679926
56,6,0.588079481961147
56,7,0.31887274745605915
56,8,0.40765454209065677
56,9,0.5713589639222941
56,10,0.9331999259944496
56,11,0.9733707308048103
56,12,0.5204301202590195
57,1,0.3717994736842105
57,2,0.2224231578947368
57,3,0.22855263157894734
57,4,0.4772368421052632
57,5,0.8823315789473684
57,6,0.9487421052631578
57,7,0.6404210526315789
57,8,0.6487105263157894
57,9,0.9926526315789473
57,10,1.3773789473684208
57,11,1.5024315789473683
57,12,0.7402263157894735
58,1,0.049396563380281686
58,2,0.025492563380281687
58,3,0.036630253521126754
58,4,0.12337352112676057
58,5,0.41275267605633803
58,6,0.3228540845070422
58,7,0.18036
58,8,0.19197126760563377
58,9,0.4958670422535211
58,10,0.8236394366197183
58,11,0.7566591549295776
58,12,0.1755938028169014
59,1,0.060994852278417624
59,2,0.05962335503254883
59,3,0.06615202804206308
59,4,0.09012078117175763
59,5,0.10727098647971958
59,6,0.08861516274411617
59,7,0.07677788683024536
59,8,0.09440833249874814
59,9,0.10787236855282925
59,10,0.17201257886830246
59,11,0.16105790686029045
59,12,0.09225806710065097
60,1,0.38734577387486274
60,2,0.15712597145993415
60,3,0.0721470032930845
60,4,0.1300726234906696
60,5,0.32712184412733253
60,6,0.5427108671789242
60,7,0.44413962678375407
60,8,0.3061304061470911
60,9,0.3824772777167947
60,10,0.6417721185510429
60,11,1.1990094401756313
60,12,0.8168482985729967
61,1,0.038794916387959864
61,2,0.04372655518394648
61,3,0.12629297658862876
61,4,0.43386220735785946
61,5,0.8546247491638795
61,6,0.4853297658862876
61,7,0.37815652173913045
61,8,0.4646207357859531
61,9,0.8165458193979933
61,10,1.1516147157190635
61,11,0.8867317725752508
61,12,0.12939451505016722
62,1,0.014644170768458059
62,2,0.009116914113510798
62,3,0.010719067805123054
62,4,0.06857321948769463
62,5,0.21281044701155197
