,hru,soil
3862,000390040,C
3863,000390041,C
3865,000390043,D
3878,000390056,C
3899,000400008,C
3900,000400009,C
3901,000400010,A
3902,000400011,A
3904,000400013,A
3909,000400018,D
3910,000400019,A
3916,000410001,D
3931,000410016,C
3933,000410018,D
3934,000410019,D
3937,000410022,C
3938,000410023,C
3939,000410024,A
3940,000410025,A
3949,000410034,C
3957,000420001,D
3959,000420003,D
3964,000420008,D
3965,000420009,D
3969,000420013,D
3970,000420014,D
3978,000420022,D
3979,000420023,D
3981,000420025,C
3982,000420026,C
3988,000430005,A
3989,000430006,A
3992,000430009,C
3993,000430010,C
3994,000430011,A
3995,000430012,A
3999,000430016,D
4001,000440002,C
4009,000440010,C
4010,000440011,C
4013,000440014,D
4014,000440015,D
4015,000440016,C
4016,000440017,C
4017,000440018,A
4018,000440019,A
4019,000440020,C
4025,000450001,B
4029,000450005,D
4031,000450007,B
4032,000450008,B
4038,000450014,B
4039,000450015,B
4042,000460003,B
4044,000460005,D
4052,000460013,B
4053,000460014,B
4056,000460017,D
4059,000460020,B
4064,000460025,B
4066,000460027,B
4070,000470001,D
4071,000470002,D
4072,000470003,D
4073,000470004,D
4091,000480012,D
4100,000480021,D
4101,000480022,D
4104,000480025,C
4105,000480026,C
4106,000490001,A
4113,000490008,A
4114,000490009,A
4115,000490010,D
4116,000490011,D
4117,000490012,A
4118,000490013,A
4125,000500007,C
4131,000500013,C
4132,000500014,C
4135,000500017,D
4136,000500018,D
4138,000500020,C
4139,000500021,C
4140,000500022,A
4141,000500023,A
4159,000510001,C
4175,000510017,C
4178,000510020,C
4183,000510025,D
4184,000510026,C
4186,000510028,C
4188,000510030,A
4189,000510031,A
4207,000520002,D
4208,000520003,D
4210,000520005,D
4212,000520007,C
4215,000520010,D
4216,000520011,D
4217,000520012,D
4218,000520013,D
4227,000530002,D
4228,000530003,D
4230,000530005,A
4231,000530006,A
4242,000530017,D
4243,000530018,D
4246,000530021,A
4248,000530023,C
4249,000530024,C
4250,000540001,D
4251,000540002,D
4252,000540003,D
4253,000540004,D
4264,000550011,D
4266,000550013,D
4267,000550014,D
4268,000550015,D
4269,000550016,D
4277,000560002,D
4278,000560003,D
4279,000560004,C
4281,000560006,C
4297,000560022,D
4300,000560025,C
4308,000560033,D
4309,000560034,C
4311,000560036,C
4312,000560037,C
4313,000560038,C
4318,000560043,C
4327,000570001,D
4328,000570002,D
4329,000570003,D
4330,000570004,D
4331,000570005,A
4332,000570006,A
4333,000580001,D
4334,000580002,D
4337,000580005,D
4338,000580006,D
4339,000590001,D
4347,000590009,D
4348,000590010,D
4349,000590011,D
4350,000590012,D
4351,000590013,D
4352,000590014,D
4353,000600001,D
4354,000600002,D
4356,000600004,D
4357,000600005,D
4360,000600008,D
4361,000600009,D
4367,000610002,A
4368,000610003,D
4369,000610004,D
4370,000610005,A
4371,000610006,A
4373,000610008,A
4389,000620007,D
4390,000620008,D
4393,000620011,C
4395,000620013,A
4396,000620014,A
4397,000620015,D
4398,000620016,D
4403,000620021,C
4410,000630001,D
4411,000630002,D
4413,000630004,D
4414,000630005,D
4419,000640001,D
4421,000640003,A
4422,000640004,A
4423,000640005,D
4424,000640006,D
4425,000640007,D
4426,000640008,D
4427,000640009,A
4428,000640010,A
4429,000650001,D
4430,000650002,D
4431,000650003,D
4432,000650004,D
4433,000650005,D
4434,000650006,D
4435,000650007,D
4436,000650008,D
4445,000660003,D
4449,000660007,D
4450,000660008,D
4451,000660009,D
4452,000660010,D
4454,000660012,D
4458,000670002,A
4459,000670003,A
4460,000670004,A
4462,000670006,D
4463,000670007,D
4470,000680001,C
4471,000680002,C
4472,000680003,C
4474,000680005,C
4475,000680006,A
4476,000680007,A
4478,000680009,D
4479,000680010,D
4507,000690018,C
4509,000690020,C
4510,000690021,C
4512,000690023,C
4513,000690024,C
4514,000690025,A
4515,000690026,A
4532,000700003,D
4533,000700004,C
4534,000700005,C
4541,000700012,D
4544,000700015,C
4549,000700020,D
4550,000700021,C
4551,000700022,C
4554,000700025,D
4555,000700026,D
4561,000710003,D
4562,000710004,C
4563,000710005,C
4568,000710010,C
4571,000710013,A
4572,000710014,A
4574,000710016,A
4579,000710021,D
4580,000710022,D
4581,000710023,C
