sub,month,treshold_hid,sub,month
6,3,2.1896617322834646,6,3
6,4,2.8900459842519686,6,4
6,5,2.8157555905511806,6,5
6,6,2.1238412598425196,6,6
6,7,1.2700119685039368,6,7
6,8,0.5670425196850394,6,8
6,9,0.6446324409448819,6,9
6,10,1.9247470866141732,6,10
6,11,2.965628976377953,6,11
6,12,2.6104365354330703,6,12
7,1,1.9365024793388428,7,1
7,2,1.7037223140495872,7,2
7,3,2.1833494214876032,7,3
7,4,2.895685289256198,7,4
7,5,2.8083570247933882,7,5
7,6,2.1144436363636365,7,6
7,7,1.263724958677686,7,7
7,8,0.5668125619834711,7,8
7,9,0.6516773553719007,7,9
7,10,1.9461421487603303,7,10
7,11,2.9740165289256195,7,11
7,12,2.584145454545454,7,12
8,1,2.460013714285714,8,1
8,2,2.0902217142857142,8,2
8,3,2.1975222857142858,8,3
8,4,2.844864,8,4
8,5,2.9989851428571432,8,5
8,6,2.4484114285714282,8,6
8,7,1.4566217142857143,8,7
8,8,0.5315163428571428,8,8
8,9,0.5047734857142857,8,9
8,10,1.7502171428571427,8,10
8,11,2.9603108571428574,8,11
8,12,3.085056,8,12
9,1,2.977564757709251,9,1
9,2,2.46144845814978,9,2
9,3,2.4858079295154183,9,3
9,4,3.1300017621145377,9,4
9,5,3.237525991189427,9,5
9,6,2.6409092511013217,9,6
9,7,1.5553522466960352,9,7
9,8,0.5822294273127754,9,8
9,9,0.6021547136563876,9,9
9,10,1.9727365638766519,9,10
9,11,3.5646660792951548,9,11
9,12,3.779904845814978,9,12
10,1,2.721967138810199,10,1
10,2,2.3134640226628895,10,2
10,3,2.422871388101983,10,3
10,4,3.0298742209631726,10,4
10,5,3.112113314447592,10,5
10,6,2.513921813031162,10,6
10,7,1.4712475920679888,10,7
10,8,0.5497781303116146,10,8
10,9,0.5688693484419263,10,9
10,10,1.8988419263456089,10,10
10,11,3.258601699716714,10,11
10,12,3.4378878186968835,10,12
11,1,2.3469273666092945,11,1
11,2,1.78272495697074,11,2
11,3,1.7220516351118758,11,3
11,4,2.536085370051635,11,4
11,5,3.0024371772805507,11,5
11,6,2.842426161790017,11,6
11,7,1.9748571428571429,11,7
11,8,0.6525058864027539,11,8
11,9,0.4188392426850258,11,9
11,10,1.1120468158347676,11,10
11,11,2.482996213425129,11,11
11,12,2.805843717728055,11,12
12,1,1.5814272000000003,12,1
12,2,1.3851648,12,2
12,3,1.5060095999999998,12,3
12,4,2.0307839999999997,12,4
